Date,Mkt-RF,SMB,HML
198709,-2.59,0.54,0.27
198710,-23.24,-8.43,4.24
198711,-7.77,2.72,2.95
198712,6.81,0.13,-4.43
198801,4.21,-0.72,5.01
198802,4.75,3.34,-1.71
198803,-2.27,6.15,0.73
198804,0.56,1,1.67
198805,-0.29,-2.6,2.42
198806,4.79,2.11,-1.24
198807,-1.25,-0.25,2.22
198808,-3.31,0.04,2.15
198809,3.3,-1.31,-0.75
198810,1.15,-2.93,2.05
198811,-2.29,-1.72,1.41
198812,1.49,1.95,-1.69
198901,6.1,-2.23,0.6
198902,-2.25,2.82,1.01
198903,1.57,0.67,0.58
198904,4.33,-0.68,-1.42
198905,3.35,-0.05,-0.88
198906,-1.35,-1.02,2.25
198907,7.2,-4.14,-2.79
198908,1.44,0.56,0.6
198909,-0.76,0.32,-1.27
198910,-3.67,-3.23,-1.11
198911,1.03,-1.24,-1.09
198912,1.16,-2.36,0.16
199001,-7.85,-1.24,0.85
199002,1.11,0.99,0.64
199003,1.83,1.5,-2.92
199004,-3.36,-0.46,-2.59
199005,8.42,-2.53,-3.83
199006,-1.09,1.4,-1.93
199007,-1.9,-3.12,-0.03
199008,-10.15,-3.57,1.64
199009,-6.12,-3.65,0.64
199010,-1.92,-5.57,0.1
199011,6.35,0.43,-3.1
199012,2.46,0.81,-1.7
199101,4.69,3.81,-1.6
199102,7.19,3.95,-0.58
199103,2.65,3.93,-1.39
199104,-0.28,0.48,1.5
199105,3.65,-0.4,-0.52
199106,-4.94,0.13,1.15
199107,4.24,-0.92,-1.32
199108,2.32,1.58,-0.78
199109,-1.59,1.64,-1.08
199110,1.29,0.81,-0.47
199111,-4.19,-0.5,-1.89
199112,10.84,-2.24,-4.17
199201,-0.59,8.46,4.71
199202,1.09,0.87,6.47
199203,-2.66,-1.04,3.56
199204,1.07,-6.06,4.34
199205,0.3,0.41,1.19
199206,-2.34,-3.07,3.24
199207,3.77,-0.47,-0.56
199208,-2.38,-0.13,-1.1
199209,1.19,0.54,-0.26
199210,1.02,2.09,-1.98
199211,4.13,3.76,-1.35
199212,1.53,1.69,2.62
199301,0.93,1.89,5.94
199302,0.12,-3.48,6.42
199303,2.3,0.24,1.18
199304,-3.05,-0.67,2.49
199305,2.89,2.04,-3.42
199306,0.31,-0.29,2.75
199307,-0.34,0.96,2.85
199308,3.71,0.13,0.13
199309,-0.12,3.04,-0.31
199310,1.41,2.03,-2.76
199311,-1.89,-1.25,-0.74
199312,1.65,1.23,0.32
199401,2.87,0.34,1.15
199402,-2.55,2.8,-1.54
199403,-4.78,-1.08,1.6
199404,0.68,-0.93,1.66
199405,0.58,-2.15,0.67
199406,-3.03,-0.41,1.67
199407,2.82,-1.81,0.58
199408,4.01,1.45,-2.51
199409,-2.31,3.14,-1.89
199410,1.34,-2.24,-1.62
199411,-4.04,0.25,-0.7
199412,0.86,0.22,-0.13
199501,1.8,-3.5,2.57
199502,3.63,-0.66,1.08
199503,2.19,-0.16,-2.15
199504,2.11,-0.49,1.71
199505,2.9,-2.55,2.29
199506,2.72,3.18,-2.54
199507,3.72,2.07,-1.62
199508,0.55,1.35,2.79
199509,3.35,-2.2,-0.04
199510,-1.52,-3.78,-0.5
199511,3.96,-1.09,0.51
199512,1.03,0.7,0.22
199601,2.26,-2.73,0.38
199602,1.33,1.79,-1.08
199603,0.73,1.49,0.35
199604,2.06,5.23,-4.02
199605,2.36,3.17,-0.83
199606,-1.14,-4.01,2.35
199607,-5.97,-4.31,5.14
199608,2.77,2.44,-0.74
199609,5.01,-0.98,-2.72
199610,0.86,-4.44,4.94
199611,6.25,-4.02,1.39
199612,-1.7,3.16,1.31
199701,4.99,-1.95,-1.42
199702,-0.49,-3.22,5.67
199703,-5.03,-0.36,3.39
